2013-12-02 01:58:20 status unpacked libck-connector0:armhf 0.4.5-3.1
2013-12-02 01:58:20 status half-configured libck-connector0:armhf 0.4.5-3.1
2013-12-02 01:58:21 status installed libck-connector0:armhf 0.4.5-3.1
2013-12-02 01:58:21 configure libdbus-glib-1-2:armhf 0.100.2-1 <none>
2013-12-02 01:58:21 status unpacked libdbus-glib-1-2:armhf 0.100.2-1
2013-12-02 01:58:21 status half-configured libdbus-glib-1-2:armhf 0.100.2-1
2013-12-02 01:58:21 status installed libdbus-glib-1-2:armhf 0.100.2-1
2013-12-02 01:58:21 configure libpolkit-gobject-1-0:armhf 0.105-3 <none>
2013-12-02 01:58:21 status unpacked libpolkit-gobject-1-0:armhf 0.105-3
2013-12-02 01:58:21 status half-configured libpolkit-gobject-1-0:armhf 0.105-3
2013-12-02 01:58:22 status installed libpolkit-gobject-1-0:armhf 0.105-3
2013-12-02 01:58:22 configure module-init-tools:all 9-3 <none>
2013-12-02 01:58:22 status unpacked module-init-tools:all 9-3
2013-12-02 01:58:22 status half-configured module-init-tools:all 9-3
2013-12-02 01:58:22 status installed module-init-tools:all 9-3
2013-12-02 01:58:22 configure pciutils:armhf 1:3.1.9-6 <none>
2013-12-02 01:58:22 status unpacked pciutils:armhf 1:3.1.9-6
2013-12-02 01:58:22 status half-configured pciutils:armhf 1:3.1.9-6
2013-12-02 01:58:22 status installed pciutils:armhf 1:3.1.9-6
2013-12-02 01:58:22 configure consolekit:armhf 0.4.5-3.1 <none>
2013-12-02 01:58:22 status unpacked consolekit:armhf 0.4.5-3.1
2013-12-02 01:58:22 status unpacked consolekit:armhf 0.4.5-3.1
2013-12-02 01:58:23 status unpacked consolekit:armhf 0.4.5-3.1
2013-12-02 01:58:23 status unpacked consolekit:armhf 0.4.5-3.1
